RPM,MAP,TempoDeInjecao,Confianca
848,-0.45,2.9,0.225
848,-0.35,2.6,0.298
848,-0.25,4.8,0.233
848,-0.15,2.9,0.261
848,-0.05,2.5,0.22
848,0.05,2.2,0.175
849,-0.95,8.9,0.248
849,-0.85,3.5,0.202
849,-0.75,1.7,0.135
849,-0.65,3.9,0.187
849,-0.55,11.0,0.181
849,-0.45,2.1,0.195
849,-0.35,4.6,0.203
849,-0.25,6.2,0.172
849,-0.15,4.8,0.171
849,-0.05,2.2,0.173
849,0.05,6.5,0.222
850,-0.95,7.8,0.171
850,-0.85,5.0,0.139
850,-0.75,2.5,0.201
850,-0.65,10.0,0.157
850,-0.55,2.8,0.238
850,-0.45,8.9,0.164
850,-0.35,12.3,0.103
850,-0.25,4.0,0.177
850,-0.15,4.2,0.172
850,-0.05,3.2,0.194
850,0.05,9.6,0.199
851,-0.95,8.5,0.149
851,-0.85,3.2,0.173
851,-0.75,1.7,0.166
851,-0.65,1.7,0.144
851,-0.55,1.8,0.14
851,-0.45,6.3,0.223
851,-0.35,2.7,0.254
851,-0.25,7.8,0.187
851,-0.15,3.7,0.235
851,-0.05,8.1,0.204
851,0.05,3.6,0.226
852,-0.95,5.0,0.091
852,-0.85,2.2,0.136
852,-0.75,2.6,0.228
852,-0.65,7.5,0.127
852,-0.55,4.1,0.209
852,-0.45,7.5,0.138
852,-0.35,1.9,0.165
852,-0.25,6.7,0.177
852,-0.15,3.1,0.259
852,-0.05,2.8,0.171
852,0.05,2.6,0.124
853,-0.95,8.4,0.145
853,-0.85,1.6,0.128
853,-0.75,2.5,0.234
853,-0.65,11.4,0.251
853,-0.55,2.5,0.236
853,-0.45,6.1,0.132
853,-0.35,5.6,0.174
853,-0.25,2.2,0.218
853,-0.15,2.0,0.17
853,-0.05,11.6,0.173
853,0.05,2.7,0.17
854,-0.95,8.6,0.259
854,-0.85,4.1,0.225
854,-0.75,5.0,0.187
854,-0.65,1.7,0.182
854,-0.55,2.1,0.177
854,-0.45,3.3,0.17
854,-0.35,4.2,0.154
854,-0.25,3.1,0.247
854,-0.15,4.6,0.14
854,-0.05,11.8,0.153
854,0.05,2.7,0.262
855,-0.95,8.4,0.271
855,-0.85,2.9,0.269
855,-0.75,9.3,0.181
855,-0.65,4.8,0.177
855,-0.55,3.7,0.232
855,-0.45,9.6,0.141
855,-0.35,1.9,0.125
855,-0.25,4.8,0.156
855,-0.15,3.1,0.224
855,-0.05,3.7,0.214
855,0.05,2.9,0.208
856,-0.95,1.6,0.171
856,-0.85,2.9,0.265
856,-0.75,3.7,0.238
856,-0.65,4.2,0.162
856,-0.55,6.8,0.219
856,-0.45,3.0,0.247
856,-0.35,10.9,0.149
856,-0.25,1.9,0.15
856,-0.15,2.0,0.217
856,-0.05,2.4,0.209
856,0.05,2.7,0.185
857,-0.95,6.6,0.19
857,-0.85,3.3,0.237
857,-0.75,1.8,0.2
857,-0.65,3.0,0.235
857,-0.55,9.0,0.191
857,-0.45,4.3,0.159
857,-0.35,1.9,0.151
857,-0.25,1.9,0.124
857,-0.15,4.6,0.163
857,-0.05,8.9,0.138
857,0.05,2.2,0.207
858,-0.95,6.3,0.139
858,-0.85,1.9,0.162
858,-0.75,9.8,0.16
858,-0.65,2.2,0.226
858,-0.55,6.3,0.164
858,-0.45,8.8,0.162
858,-0.35,3.5,0.181
858,-0.25,1.9,0.164
858,-0.15,2.0,0.151
858,-0.05,3.1,0.174
858,0.05,2.8,0.151
859,-0.95,9.1,0.167
859,-0.85,10.3,0.17
859,-0.75,10.4,0.145
859,-0.65,10.4,0.143
859,-0.55,11.6,0.177
859,-0.45,10.2,0.163
859,-0.35,7.4,0.187
859,-0.25,1.9,0.163
859,-0.15,2.0,0.186
859,-0.05,2.0,0.163
859,0.05,3.3,0.165
860,-0.95,5.8,0.174
860,-0.85,6.2,0.14
860,-0.75,3.9,0.202
860,-0.65,3.6,0.167
860,-0.55,6.5,0.174
860,-0.45,2.3,0.234
860,-0.35,5.3,0.162
860,-0.25,11.3,0.18
860,-0.15,3.9,0.16
860,-0.05,3.5,0.159
860,0.05,2.9,0.193
861,-0.95,2.9,0.16
861,-0.85,9.7,0.121
861,-0.75,6.6,0.139
861,-0.65,10.7,0.15
861,-0.55,11.2,0.169
861,-0.45,2.3,0.194
861,-0.35,1.6,0.148
861,-0.25,4.3,0.16
861,-0.15,2.3,0.261
861,-0.05,10.5,0.214
861,0.05,2.8,0.235
862,-0.95,1.6,0.148
862,-0.85,13.2,0.081
862,-0.75,10.9,0.18
862,-0.65,10.0,0.156
862,-0.55,6.5,0.157
862,-0.45,5.8,0.169
862,-0.35,9.4,0.158
862,-0.25,6.7,0.179
862,-0.15,2.8,0.195
862,-0.05,2.0,0.121
862,0.05,4.9,0.17
863,-0.95,9.5,0.204
863,-0.85,5.1,0.101
863,-0.75,9.4,0.144
863,-0.65,2.6,0.21
863,-0.55,6.1,0.15
863,-0.45,8.6,0.19
863,-0.35,4.3,0.192
863,-0.25,2.7,0.276
863,-0.15,6.9,0.163
863,-0.05,2.0,0.17
863,0.05,2.1,0.152
864,-0.95,10.5,0.218
864,-0.85,2.5,0.232
864,-0.75,4.2,0.194
864,-0.65,4.0,0.201
864,-0.55,1.8,0.187
864,-0.45,11.7,0.229
864,-0.35,2.5,0.251
864,-0.25,2.7,0.304
864,-0.15,11.7,0.189
864,-0.05,2.0,0.157
864,0.05,5.9,0.185
865,-0.95,9.2,0.174
865,-0.85,6.4,0.171
865,-0.75,2.2,0.262
865,-0.65,2.6,0.307
865,-0.55,2.6,0.301
865,-0.45,1.8,0.172
865,-0.35,3.0,0.17
865,-0.25,2.6,0.305
865,-0.15,9.6,0.183
865,-0.05,2.0,0.168
865,0.05,2.4,0.198
866,-0.95,6.7,0.188
866,-0.85,7.0,0.128
866,-0.75,6.6,0.179
866,-0.65,3.4,0.234
866,-0.55,2.9,0.29
866,-0.45,8.2,0.179
866,-0.35,11.4,0.167
866,-0.25,10.9,0.183
866,-0.15,4.0,0.207
866,-0.05,2.6,0.205
866,0.05,2.1,0.167
867,-0.95,5.3,0.15
867,-0.85,2.0,0.147
867,-0.75,11.2,0.175
867,-0.65,11.2,0.194
867,-0.55,4.5,0.216
867,-0.45,4.6,0.229
867,-0.35,9.9,0.194
867,-0.25,3.0,0.277
867,-0.15,3.2,0.196
867,-0.05,9.8,0.179
867,0.05,3.8,0.202
868,-0.95,7.6,0.252
868,-0.85,13.7,0.099
868,-0.75,4.8,0.157
868,-0.65,7.6,0.19
868,-0.55,3.0,0.287
868,-0.45,6.6,0.244
868,-0.35,13.3,0.09
868,-0.25,1.9,0.142
868,-0.15,3.9,0.219
868,-0.05,5.3,0.178
868,0.05,7.4,0.226
869,-0.95,10.5,0.242
869,-0.85,5.6,0.206
869,-0.75,2.7,0.313
869,-0.65,2.8,0.24
869,-0.55,3.8,0.22
869,-0.45,5.2,0.185
869,-0.35,8.7,0.167
869,-0.25,1.9,0.173
869,-0.15,2.5,0.205
